fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#FDFDFD	14	5	14 5	54	13.5	14.5	4.5	5.5
#FEFEFE	16	7	16 7	78	15.5	16.5	6.5	7.5
#FEFEFE	17	8	17 8	90	16.5	17.5	7.5	8.5
#FEFEFE	18	9	18 9	102	17.5	18.5	8.5	9.5
#FEFEFE	15	6	15 6	66	14.5	15.5	5.5	6.5
#FFFFFF	19	10	19 10	105	18.5	19.5	9.5	10.5
#A2A2A2	10	0	10 0	4	9.5	10.5	-0.5	0.5
#CECECE	11	1	11 1	16	10.5	11.5	0.5	1.5
#FBFBFB	12	2	12 2	29	11.5	12.5	1.5	2.5
#FCFCFC	13	3	13 3	41	12.5	13.5	2.5	3.5
#F8F8F8	14	4	14 4	53	13.5	14.5	3.5	4.5
#FEFEFE	17	7	17 7	89	16.5	17.5	6.5	7.5
#FEFEFE	18	8	18 8	101	17.5	18.5	7.5	8.5
#FEFEFE	19	9	19 9	113	18.5	19.5	8.5	9.5
#FAFAFA	15	5	15 5	65	14.5	15.5	4.5	5.5
#FEFEFE	16	6	16 6	77	15.5	16.5	5.5	6.5
#FDFDFD	20	10	20 10	119	19.5	20.5	9.5	10.5
#6B6B6B	11	0	11 0	15	10.5	11.5	-0.5	0.5
#C0C0C0	12	1	12 1	27	11.5	12.5	0.5	1.5
#F4F4F4	13	2	13 2	40	12.5	13.5	1.5	2.5
#F6F6F6	14	3	14 3	52	13.5	14.5	2.5	3.5
#FEFEFE	18	7	18 7	100	17.5	18.5	6.5	7.5
#FDFDFD	19	8	19 8	112	18.5	19.5	7.5	8.5
#FDFDFD	20	9	20 9	127	19.5	20.5	8.5	9.5
#F6F6F6	15	4	15 4	64	14.5	15.5	3.5	4.5
#FEFEFE	16	5	16 5	76	15.5	16.5	4.5	5.5
#FEFEFE	17	6	17 6	88	16.5	17.5	5.5	6.5
#FDFDFD	21	10	21 10	130	20.5	21.5	9.5	10.5
#6B6B6B	12	0	12 0	26	11.5	12.5	-0.5	0.5
#9C9C9C	13	1	13 1	38	12.5	13.5	0.5	1.5
#E4E4E4	14	2	14 2	51	13.5	14.5	1.5	2.5
#FEFEFE	19	7	19 7	111	18.5	19.5	6.5	7.5
#FDFDFD	20	8	20 8	126	19.5	20.5	7.5	8.5
#FEFEFE	21	9	21 9	138	20.5	21.5	8.5	9.5
#F6F6F6	15	3	15 3	63	14.5	15.5	2.5	3.5
#F8F8F8	16	4	16 4	75	15.5	16.5	3.5	4.5
#FFFFFF	17	5	17 5	87	16.5	17.5	4.5	5.5
#FFFFFF	18	6	18 6	99	17.5	18.5	5.5	6.5
#FDFDFD	22	10	22 10	141	21.5	22.5	9.5	10.5
#696969	13	0	13 0	37	12.5	13.5	-0.5	0.5
#989898	14	1	14 1	49	13.5	14.5	0.5	1.5
#FEFEFE	20	7	20 7	125	19.5	20.5	6.5	7.5
#FEFEFE	21	8	21 8	137	20.5	21.5	7.5	8.5
#DFDFDF	15	2	15 2	62	14.5	15.5	1.5	2.5
#EBEBEB	16	3	16 3	74	15.5	16.5	2.5	3.5
#FDFDFD	17	4	17 4	86	16.5	17.5	3.5	4.5
#FFFFFF	18	5	18 5	98	17.5	18.5	4.5	5.5
#FFFFFF	19	6	19 6	110	18.5	19.5	5.5	6.5
#FEFEFE	22	9	22 9	149	21.5	22.5	8.5	9.5
#FFFFFF	23	10	23 10	152	22.5	23.5	9.5	10.5
#707070	14	0	14 0	48	13.5	14.5	-0.5	0.5
#FEFEFE	21	7	21 7	136	20.5	21.5	6.5	7.5
#9F9F9F	15	1	15 1	60	14.5	15.5	0.5	1.5
#BFBFBF	16	2	16 2	73	15.5	16.5	1.5	2.5
#E2E2E2	17	3	17 3	85	16.5	17.5	2.5	3.5
#FDFDFD	18	4	18 4	97	17.5	18.5	3.5	4.5
#FEFEFE	19	5	19 5	109	18.5	19.5	4.5	5.5
#FFFFFF	20	6	20 6	124	19.5	20.5	5.5	6.5
#FEFEFE	22	8	22 8	148	21.5	22.5	7.5	8.5
#FEFEFE	23	9	23 9	160	22.5	23.5	8.5	9.5
#FFFFFF	24	10	24 10	163	23.5	24.5	9.5	10.5
#5D5D5D	15	0	15 0	59	14.5	15.5	-0.5	0.5
#B0B0B0	16	1	16 1	71	15.5	16.5	0.5	1.5
#D8D8D8	17	2	17 2	84	16.5	17.5	1.5	2.5
#FCFCFC	18	3	18 3	96	17.5	18.5	2.5	3.5
#FEFEFE	19	4	19 4	108	18.5	19.5	3.5	4.5
#FEFEFE	20	5	20 5	123	19.5	20.5	4.5	5.5
#FFFFFF	21	6	21 6	135	20.5	21.5	5.5	6.5
#FFFFFF	22	7	22 7	147	21.5	22.5	6.5	7.5
#FFFFFF	23	8	23 8	159	22.5	23.5	7.5	8.5
#FFFFFF	24	9	24 9	171	23.5	24.5	8.5	9.5
#FFFFFF	25	10	25 10	174	24.5	25.5	9.5	10.5
#8A8A8A	16	0	16 0	70	15.5	16.5	-0.5	0.5
#929292	17	1	17 1	82	16.5	17.5	0.5	1.5
#CACACA	18	2	18 2	95	17.5	18.5	1.5	2.5
#FCFCFC	19	3	19 3	107	18.5	19.5	2.5	3.5
#FDFDFD	20	4	20 4	122	19.5	20.5	3.5	4.5
#FEFEFE	21	5	21 5	134	20.5	21.5	4.5	5.5
#FFFFFF	22	6	22 6	146	21.5	22.5	5.5	6.5
#FFFFFF	23	7	23 7	158	22.5	23.5	6.5	7.5
#FFFFFF	24	8	24 8	170	23.5	24.5	7.5	8.5
#FFFFFF	25	9	25 9	182	24.5	25.5	8.5	9.5
#FFFFFF	26	10	26 10	185	25.5	26.5	9.5	10.5
#8A8A8A	17	0	17 0	81	16.5	17.5	-0.5	0.5
#ACACAC	18	1	18 1	93	17.5	18.5	0.5	1.5
#F0F0F0	19	2	19 2	106	18.5	19.5	1.5	2.5
#FDFDFD	20	3	20 3	121	19.5	20.5	2.5	3.5
#FEFEFE	21	4	21 4	133	20.5	21.5	3.5	4.5
#FEFEFE	22	5	22 5	145	21.5	22.5	4.5	5.5
#FFFFFF	23	6	23 6	157	22.5	23.5	5.5	6.5
#FFFFFF	24	7	24 7	169	23.5	24.5	6.5	7.5
#FFFFFF	25	8	25 8	181	24.5	25.5	7.5	8.5
#FFFFFF	26	9	26 9	193	25.5	26.5	8.5	9.5
#8B8B8B	18	0	18 0	92	17.5	18.5	-0.5	0.5
#C5C5C5	19	1	19 1	104	18.5	19.5	0.5	1.5
#FAFAFA	20	2	20 2	120	19.5	20.5	1.5	2.5
#FCFCFC	21	3	21 3	132	20.5	21.5	2.5	3.5
#FDFDFD	22	4	22 4	144	21.5	22.5	3.5	4.5
#FFFFFF	23	5	23 5	156	22.5	23.5	4.5	5.5
#FFFFFF	24	6	24 6	168	23.5	24.5	5.5	6.5
#FFFFFF	25	7	25 7	180	24.5	25.5	6.5	7.5
#FFFFFF	27	10	27 10	196	26.5	27.5	9.5	10.5
#FFFFFF	28	10	28 10	207	27.5	28.5	9.5	10.5
#939393	19	0	19 0	103	18.5	19.5	-0.5	0.5
#DCDCDC	20	1	20 1	118	19.5	20.5	0.5	1.5
#F1F1F1	21	2	21 2	131	20.5	21.5	1.5	2.5
#FCFCFC	22	3	22 3	143	21.5	22.5	2.5	3.5
#FDFDFD	23	4	23 4	155	22.5	23.5	3.5	4.5
#FDFDFD	24	5	24 5	167	23.5	24.5	4.5	5.5
#FDFDFD	25	6	25 6	179	24.5	25.5	5.5	6.5
#FFFFFF	27	9	27 9	204	26.5	27.5	8.5	9.5
#FDFDFD	26	7	26 7	191	25.5	26.5	6.5	7.5
#FFFFFF	28	9	28 9	215	27.5	28.5	8.5	9.5
#FFFFFF	29	10	29 10	218	28.5	29.5	9.5	10.5
#FFFFFF	26	8	26 8	192	25.5	26.5	7.5	8.5
#FFFFFF	27	8	27 8	203	26.5	27.5	7.5	8.5
#909090	20	0	20 0	117	19.5	20.5	-0.5	0.5
#E9E9E9	21	1	21 1	129	20.5	21.5	0.5	1.5
#F6F6F6	22	2	22 2	142	21.5	22.5	1.5	2.5
#FCFCFC	23	3	23 3	154	22.5	23.5	2.5	3.5
#FDFDFD	24	4	24 4	166	23.5	24.5	3.5	4.5
#FCFCFC	25	5	25 5	178	24.5	25.5	4.5	5.5
#FDFDFD	26	6	26 6	190	25.5	26.5	5.5	6.5
#FFFFFF	27	7	27 7	202	26.5	27.5	6.5	7.5
#FFFFFF	28	8	28 8	214	27.5	28.5	7.5	8.5
#FFFFFF	29	9	29 9	226	28.5	29.5	8.5	9.5
#FFFFFF	30	10	30 10	233	29.5	30.5	9.5	10.5
#A6A6A6	21	0	21 0	128	20.5	21.5	-0.5	0.5
#E1E1E1	22	1	22 1	140	21.5	22.5	0.5	1.5
#FCFCFC	23	2	23 2	153	22.5	23.5	1.5	2.5
#FCFCFC	24	3	24 3	165	23.5	24.5	2.5	3.5
#FDFDFD	25	4	25 4	177	24.5	25.5	3.5	4.5
#FDFDFD	26	5	26 5	189	25.5	26.5	4.5	5.5
#FDFDFD	27	6	27 6	201	26.5	27.5	5.5	6.5
#FEFEFE	28	7	28 7	213	27.5	28.5	6.5	7.5
#FFFFFF	29	8	29 8	225	28.5	29.5	7.5	8.5
#FFFFFF	30	9	30 9	240	29.5	30.5	8.5	9.5
#FFFFFF	31	10	31 10	243	30.5	31.5	9.5	10.5
#A5A5A5	22	0	22 0	139	21.5	22.5	-0.5	0.5
#EFEFEF	23	1	23 1	151	22.5	23.5	0.5	1.5
#FAFAFA	24	2	24 2	164	23.5	24.5	1.5	2.5
#FAFAFA	25	3	25 3	176	24.5	25.5	2.5	3.5
#FDFDFD	26	4	26 4	188	25.5	26.5	3.5	4.5
#FDFDFD	27	5	27 5	200	26.5	27.5	4.5	5.5
#FDFDFD	28	6	28 6	212	27.5	28.5	5.5	6.5
#FFFFFF	31	9	31 9	251	30.5	31.5	8.5	9.5
#FFFFFF	29	7	29 7	224	28.5	29.5	6.5	7.5
#FFFFFF	32	10	32 10	254	31.5	32.5	9.5	10.5
#FFFFFF	30	8	30 8	239	29.5	30.5	7.5	8.5
#B9B9B9	23	0	23 0	150	22.5	23.5	-0.5	0.5
#C5C5C5	24	1	24 1	162	23.5	24.5	0.5	1.5
#EFEFEF	25	2	25 2	175	24.5	25.5	1.5	2.5
#F8F8F8	26	3	26 3	187	25.5	26.5	2.5	3.5
#FDFDFD	27	4	27 4	199	26.5	27.5	3.5	4.5
#FDFDFD	28	5	28 5	211	27.5	28.5	4.5	5.5
#FFFFFF	31	8	31 8	250	30.5	31.5	7.5	8.5
#FFFFFF	32	9	32 9	262	31.5	32.5	8.5	9.5
#FFFFFF	33	10	33 10	265	32.5	33.5	9.5	10.5
#FEFEFE	29	6	29 6	223	28.5	29.5	5.5	6.5
#FFFFFF	30	7	30 7	238	29.5	30.5	6.5	7.5
#A6A6A6	24	0	24 0	161	23.5	24.5	-0.5	0.5
#D6D6D6	25	1	25 1	173	24.5	25.5	0.5	1.5
#F2F2F2	26	2	26 2	186	25.5	26.5	1.5	2.5
#FDFDFD	27	3	27 3	198	26.5	27.5	2.5	3.5
#FDFDFD	28	4	28 4	210	27.5	28.5	3.5	4.5
#FFFFFF	31	7	31 7	249	30.5	31.5	6.5	7.5
#FFFFFF	32	8	32 8	261	31.5	32.5	7.5	8.5
#FFFFFF	33	9	33 9	273	32.5	33.5	8.5	9.5
#FDFDFD	29	5	29 5	222	28.5	29.5	4.5	5.5
#FFFFFF	34	10	34 10	276	33.5	34.5	9.5	10.5
#B1B1B1	25	0	25 0	172	24.5	25.5	-0.5	0.5
#DFDFDF	26	1	26 1	184	25.5	26.5	0.5	1.5
#F3F3F3	27	2	27 2	197	26.5	27.5	1.5	2.5
#FCFCFC	28	3	28 3	209	27.5	28.5	2.5	3.5
#FFFFFF	32	7	32 7	260	31.5	32.5	6.5	7.5
#FFFFFF	33	8	33 8	272	32.5	33.5	7.5	8.5
#FDFDFD	29	4	29 4	221	28.5	29.5	3.5	4.5
#FFFFFF	34	9	34 9	284	33.5	34.5	8.5	9.5
#FFFFFF	35	10	35 10	287	34.5	35.5	9.5	10.5
#A2A2A2	26	0	26 0	183	25.5	26.5	-0.5	0.5
#D1D1D1	27	1	27 1	195	26.5	27.5	0.5	1.5
#F2F2F2	28	2	28 2	208	27.5	28.5	1.5	2.5
#FEFEFE	30	5	30 5	237	29.5	30.5	4.5	5.5
#FFFFFF	33	7	33 7	271	32.5	33.5	6.5	7.5
#FFFFFF	34	8	34 8	283	33.5	34.5	7.5	8.5
#FBFBFB	29	3	29 3	220	28.5	29.5	2.5	3.5
#FDFDFD	30	4	30 4	236	29.5	30.5	3.5	4.5
#FFFFFF	32	6	32 6	259	31.5	32.5	5.5	6.5
#FFFFFF	35	9	35 9	295	34.5	35.5	8.5	9.5
#FFFFFF	36	10	36 10	298	35.5	36.5	9.5	10.5
#FDFDFD	31	5	31 5	247	30.5	31.5	4.5	5.5
#FEFEFE	31	6	31 6	248	30.5	31.5	5.5	6.5
#A2A2A2	27	0	27 0	194	26.5	27.5	-0.5	0.5
#C7C7C7	28	1	28 1	206	27.5	28.5	0.5	1.5
#FFFFFF	34	7	34 7	282	33.5	34.5	6.5	7.5
#FFFFFF	35	8	35 8	294	34.5	35.5	7.5	8.5
#F2F2F2	29	2	29 2	219	28.5	29.5	1.5	2.5
#FDFDFD	30	3	30 3	235	29.5	30.5	2.5	3.5
#FDFDFD	31	4	31 4	246	30.5	31.5	3.5	4.5
#FDFDFD	32	5	32 5	258	31.5	32.5	4.5	5.5
#FFFFFF	33	6	33 6	270	32.5	33.5	5.5	6.5
#FFFFFF	36	9	36 9	306	35.5	36.5	8.5	9.5
#FFFFFF	37	10	37 10	309	36.5	37.5	9.5	10.5
#A4A4A4	28	0	28 0	205	27.5	28.5	-0.5	0.5
#FFFFFF	35	7	35 7	293	34.5	35.5	6.5	7.5
#DBDBDB	29	1	29 1	217	28.5	29.5	0.5	1.5
#F9F9F9	30	2	30 2	234	29.5	30.5	1.5	2.5
#FDFDFD	31	3	31 3	245	30.5	31.5	2.5	3.5
#FDFDFD	32	4	32 4	257	31.5	32.5	3.5	4.5
#FFFFFF	33	5	33 5	269	32.5	33.5	4.5	5.5
#FFFFFF	34	6	34 6	281	33.5	34.5	5.5	6.5
#FFFFFF	36	8	36 8	305	35.5	36.5	7.5	8.5
#FFFFFF	37	9	37 9	317	36.5	37.5	8.5	9.5
#A5A5A5	29	0	29 0	216	28.5	29.5	-0.5	0.5
#DDDDDD	30	1	30 1	232	29.5	30.5	0.5	1.5
#F8F8F8	31	2	31 2	244	30.5	31.5	1.5	2.5
#FBFBFB	32	3	32 3	256	31.5	32.5	2.5	3.5
#FDFDFD	33	4	33 4	268	32.5	33.5	3.5	4.5
#FDFDFD	34	5	34 5	280	33.5	34.5	4.5	5.5
#FEFEFE	35	6	35 6	292	34.5	35.5	5.5	6.5
#FFFFFF	36	7	36 7	304	35.5	36.5	6.5	7.5
#FFFFFF	38	10	38 10	320	37.5	38.5	9.5	10.5
#FFFFFF	38	9	38 9	328	37.5	38.5	8.5	9.5
#FFFFFF	39	10	39 10	331	38.5	39.5	9.5	10.5
#FFFFFF	37	8	37 8	316	36.5	37.5	7.5	8.5
#A1A1A1	30	0	30 0	231	29.5	30.5	-0.5	0.5
#EDEDED	31	1	31 1	242	30.5	31.5	0.5	1.5
#F1F1F1	32	2	32 2	255	31.5	32.5	1.5	2.5
#F9F9F9	33	3	33 3	267	32.5	33.5	2.5	3.5
#F7F7F7	34	4	34 4	279	33.5	34.5	3.5	4.5
#FCFCFC	35	5	35 5	291	34.5	35.5	4.5	5.5
#FFFFFF	36	6	36 6	303	35.5	36.5	5.5	6.5
#FFFFFF	37	7	37 7	315	36.5	37.5	6.5	7.5
#FFFFFF	38	8	38 8	327	37.5	38.5	7.5	8.5
#FFFFFF	39	9	39 9	339	38.5	39.5	8.5	9.5
#FFFFFF	40	10	40 10	347	39.5	40.5	9.5	10.5
#AAAAAA	31	0	31 0	241	30.5	31.5	-0.5	0.5
#EDEDED	32	1	32 1	253	31.5	32.5	0.5	1.5
#EBEBEB	33	2	33 2	266	32.5	33.5	1.5	2.5
#F2F2F2	34	3	34 3	278	33.5	34.5	2.5	3.5
#F2F2F2	35	4	35 4	290	34.5	35.5	3.5	4.5
#FBFBFB	36	5	36 5	302	35.5	36.5	4.5	5.5
#FFFFFF	37	6	37 6	314	36.5	37.5	5.5	6.5
#FFFFFF	38	7	38 7	326	37.5	38.5	6.5	7.5
#FFFFFF	40	9	40 9	355	39.5	40.5	8.5	9.5
#FFFFFF	41	10	41 10	358	40.5	41.5	9.5	10.5
#FFFFFF	39	8	39 8	338	38.5	39.5	7.5	8.5
#B3B3B3	32	0	32 0	252	31.5	32.5	-0.5	0.5
#C0C0C0	33	1	33 1	264	32.5	33.5	0.5	1.5
#E3E3E3	34	2	34 2	277	33.5	34.5	1.5	2.5
#EDEDED	35	3	35 3	289	34.5	35.5	2.5	3.5
#F2F2F2	36	4	36 4	301	35.5	36.5	3.5	4.5
#FEFEFE	37	5	37 5	313	36.5	37.5	4.5	5.5
#FFFFFF	38	6	38 6	325	37.5	38.5	5.5	6.5
#FFFFFF	39	7	39 7	337	38.5	39.5	6.5	7.5
#FFFFFF	40	8	40 8	354	39.5	40.5	7.5	8.5
#FFFFFF	41	9	41 9	366	40.5	41.5	8.5	9.5
#FFFFFF	42	10	42 10	369	41.5	42.5	9.5	10.5
#9F9F9F	33	0	33 0	263	32.5	33.5	-0.5	0.5
#B2B2B2	34	1	34 1	275	33.5	34.5	0.5	1.5
#EBEBEB	35	2	35 2	288	34.5	35.5	1.5	2.5
#EFEFEF	36	3	36 3	300	35.5	36.5	2.5	3.5
#F5F5F5	37	4	37 4	312	36.5	37.5	3.5	4.5
#FFFFFF	38	5	38 5	324	37.5	38.5	4.5	5.5
#FFFFFF	39	6	39 6	336	38.5	39.5	5.5	6.5
#FFFFFF	41	8	41 8	365	40.5	41.5	7.5	8.5
#FFFFFF	42	9	42 9	377	41.5	42.5	8.5	9.5
#FFFFFF	40	7	40 7	353	39.5	40.5	6.5	7.5
#FFFFFF	43	10	43 10	380	42.5	43.5	9.5	10.5
#979797	34	0	34 0	274	33.5	34.5	-0.5	0.5
#CACACA	35	1	35 1	286	34.5	35.5	0.5	1.5
#E8E8E8	36	2	36 2	299	35.5	36.5	1.5	2.5
#F2F2F2	37	3	37 3	311	36.5	37.5	2.5	3.5
#F8F8F8	38	4	38 4	323	37.5	38.5	3.5	4.5
#FFFFFF	39	5	39 5	335	38.5	39.5	4.5	5.5
#FFFFFF	40	6	40 6	352	39.5	40.5	5.5	6.5
#FFFFFF	41	7	41 7	364	40.5	41.5	6.5	7.5
#FFFFFF	42	8	42 8	376	41.5	42.5	7.5	8.5
#FFFFFF	43	9	43 9	388	42.5	43.5	8.5	9.5
#FFFFFF	44	10	44 10	391	43.5	44.5	9.5	10.5
#999999	35	0	35 0	285	34.5	35.5	-0.5	0.5
#AFAFAF	36	1	36 1	297	35.5	36.5	0.5	1.5
#EAEAEA	37	2	37 2	310	36.5	37.5	1.5	2.5
#F5F5F5	38	3	38 3	322	37.5	38.5	2.5	3.5
#FEFEFE	39	4	39 4	334	38.5	39.5	3.5	4.5
#FFFFFF	40	5	40 5	351	39.5	40.5	4.5	5.5
#FFFFFF	41	6	41 6	363	40.5	41.5	5.5	6.5
#FFFFFF	42	7	42 7	375	41.5	42.5	6.5	7.5
#FFFFFF	43	8	43 8	387	42.5	43.5	7.5	8.5
#FFFFFF	44	9	44 9	399	43.5	44.5	8.5	9.5
#FFFFFF	45	10	45 10	402	44.5	45.5	9.5	10.5
#A3A3A3	36	0	36 0	296	35.5	36.5	-0.5	0.5
#AFAFAF	37	1	37 1	308	36.5	37.5	0.5	1.5
#F1F1F1	38	2	38 2	321	37.5	38.5	1.5	2.5
#FBFBFB	39	3	39 3	333	38.5	39.5	2.5	3.5
#FFFFFF	40	4	40 4	350	39.5	40.5	3.5	4.5
#FFFFFF	41	5	41 5	362	40.5	41.5	4.5	5.5
#FFFFFF	42	6	42 6	374	41.5	42.5	5.5	6.5
#FFFFFF	43	7	43 7	386	42.5	43.5	6.5	7.5
#FFFFFF	44	8	44 8	398	43.5	44.5	7.5	8.5
#FFFFFF	45	9	45 9	410	44.5	45.5	8.5	9.5
#FFFFFF	46	10	46 10	413	45.5	46.5	9.5	10.5
#9D9D9D	37	0	37 0	307	36.5	37.5	-0.5	0.5
#D6D6D6	38	1	38 1	319	37.5	38.5	0.5	1.5
#F5F5F5	39	2	39 2	332	38.5	39.5	1.5	2.5
#FCFCFC	40	3	40 3	349	39.5	40.5	2.5	3.5
#FFFFFF	41	4	41 4	361	40.5	41.5	3.5	4.5
